serial_number;comment
Заводской номер;Комментарии
R220000000007918;длина зонда 1725
R220000000007917;длина зонда 1725
R220000000007915;длина зонда 1725
R220000000007914;длина зонда 1725
R220000000007912;длина зонда 1085
R220000000007911;длина зонда 1085
R220000000007910;длина зонда 1085
R220000000007908;длина зонда 1085
R220000000007907;длина зонда 1085
R220000000007906;Нержавеющая сталь / 40 бар (диам. волновода 8 мм, присоединение -фланцевое)
R220000000007894;нержавеющая сталь / 40 бар (диам. волновода 8 мм, длина зонда 2640 присоединение -фланцевое)
R220000000007893;нержавеющая сталь / 40 бар (диам. волновода 8 мм, длина зонда 2640 присоединение -фланцевое)
R220000000007892;нержавеющая сталь / 40 бар (диам. волновода 8 мм, длина зонда 2640 присоединение -фланцевое)
R220000000007891;нержавеющая сталь / 40 бар (диам. волновода 8 мм, длина зонда 2640 присоединение -фланцевое)
R220000000007890;нержавеющая сталь / 40 бар (диам. волновода 8 мм, длина зонда 2640 присоединение -фланцевое)
R220000000007889;нержавеющая сталь / 40 бар (диам. волновода 8 мм, длина зонда 2640 присоединение -фланцевое)
7352;Д=25 мм, 30-9000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7351;Д=25 мм, 30-9000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7350;Д=25 мм, 30-9000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7349;Д=25 мм, 30-9000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7348;Д=25 мм, 30-9000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7347;Д=50 мм, 250-50000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7346;Д=25 мм, 30-9000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7345;Д=25 мм, 30-9000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7344;Д=50 мм, 250-50000 кг/ч, tраб= -60...100⁰, Рмах=16 МПа
7204;Д=40 мм
7203;Д=40 мм
7202;Д=40 мм
6809;Д=10мм, 10-1100кг/ч
