position;location;teg;model;type;name;reg_number;serial_number;year;min_scale;max_scale;unit;mpi;previous_verification;result;certificate
ГП17;70АСН-1;c-10/25;УПМ-М-2000 ;УПМ-М;Установка измерительная;79292-20;202;2022;0;2000;кг;12;23.04.2024;Годен;С-БП/23-04-2024/337157793
ГП17;70АСН-3;;УПМ-2000-04;УПМ; Установки поверочные средств измерений объема и массы для верхнего и нижнего налива;63582-16;75;2022;0;2000;кг;12;23.04.2024;Годен; С-БП/23-04-2024/337157794
ГП17;;; СОСпр-2б-2-010  ;СО; Секундомеры механические однострелочные;79292-20;2110;2022;0;3600;с;12;22.02.2024;Годен;С-БП/22-02-2024/319068626
ГП17;;; АНТ-2 670-750 20С; АНТ-1, АНТ-2, АН; Ареометры для нефти; 9292-07;417;2022;-20;35;°С;48;05.05.2022;Годен; С-АИФ/05-05-2022/159341942
ГП17;70АСН-1;;INTRATOOL IS-2;INTRATOOL; Системы автоматизированного слива/налива;88584-23;ИТ-00161-2022;2022;30;150;Т/ч;12;30.07.2024;Годен;С-ВН/30-07-2024/364791493
ГП17;70АСН-2;;INTRATOOL IS-2;INTRATOOL; Системы автоматизированного слива/налива;88584-23;ИТ-00162-2022;2022;30;150;Т/ч;12;30.07.2024;Годен;С-ВН/30-07-2024/364791492
ГП17;70АСН-3;;INTRATOOL IS-2;INTRATOOL; Системы автоматизированного слива/налива;88584-23;ИТ-00163-2022;2022;30;150;Т/ч;12;30.07.2024;Годен;С-ВН/30-07-2024/364791491
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044543;2023;0;100;%НКПР;12;22.08.2024;Годен; С-БП/22-08-2024/364536763
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044544;2023;0;100;%НКПР;12;22.08.2024;Годен; С-БП/22-08-2024/364536760
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044547;2023;0;100;%НКПР;12;26.08.2024;Годен;С-БП/26-08-2024/365163001
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044550;2023;0;100;%НКПР;12;22.08.2024;Не годен; И-БП/22-08-2024/364985391
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044557;2023;0;100;%НКПР;12;22.08.2024;Годен;С-БП/22-08-2024/364536749
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044558;2023;0;100;%НКПР;12;22.08.2024;Годен;С-БП/22-08-2024/364536759
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044563;2023;0;100;%НКПР;12;17.08.2023;Годен; С-ЕВП/17-08-2023/272450197
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044564;2023;0;100;%НКПР;12;17.08.2023;Годен;С-ЕВП/17-08-2023/272450196
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044565;2023;0;100;%НКПР;12;17.08.2023;Годен; С-ЕВП/17-08-2023/272450195
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044566;2023;0;100;%НКПР;12;22.08.2024;Годен; С-БП/22-08-2024/364536754
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044567;2023;0;100;%НКПР;12;22.08.2024;Годен;С-БП/22-08-2024/364536747
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044568;2023;0;100;%НКПР;12;22.08.2024;Годен; С-БП/22-08-2024/364536758
ГП301;;;Микросенс М3 (PID);Микросенс; Газоанализаторы портативные;70544-18;044572;2023;0;100;%НКПР;12;22.08.2024;Годен;С-БП/22-08-2024/364536762
