reg_number;name;serial_number;verification;certificate
25913-08;Манометр показывающий;00882971;2024-11-27;С-БП/27-11-2024/391329027
reg_number;name;serial_number;verification;certificate
10135-15;Манометр показывающий;212001722;2024-11-27;С-БП/27-11-2024/391327569
reg_number;name;serial_number;verification;certificate
10135-15;Манометр показывающий;222006993;2024-11-27;С-БП/27-11-2024/391327623
reg_number;name;serial_number;verification;certificate
55984-13;Манометр показывающий ;8971NU3D;2024-11-27;С-БП/27-11-2024/391328833
reg_number;name;serial_number;verification;certificate
55984-13;Манометр показывающий ;897221EG;2024-11-27;С-БП/27-11-2024/391328119
reg_number;name;serial_number;verification;certificate
55984-13;Манометр показывающий ;8972220G;2024-11-27;С-БП/27-11-2024/391327772
reg_number;name;serial_number;verification;certificate
55984-13;Манометр показывающий ;89729CHL;2024-11-27;С-БП/27-11-2024/391327773
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;117;2024-11-25;С-БП/25-11-2024/391502816
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;118;2024-11-25;С-БП/25-11-2024/391502849
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;119;2024-11-25;С-БП/25-11-2024/391502845
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;122;2024-11-25;С-БП/25-11-2024/391502820
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;125;2024-11-25;С-БП/25-11-2024/391502834
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;126;2024-11-25;С-БП/25-11-2024/391502847
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;127;2024-11-25;С-БП/25-11-2024/391502856
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;129;2024-11-25;С-БП/25-11-2024/391502831
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;130;2024-11-25;С-БП/25-11-2024/391502822
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;133;2024-11-25;С-БП/25-11-2024/391502854
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;136;2024-11-25;С-БП/25-11-2024/391502829
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;137;2024-11-25;С-БП/25-11-2024/391502842
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;138;2024-11-25;С-БП/25-11-2024/391502851
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;143;2024-11-25;С-БП/25-11-2024/391502827
reg_number;name;serial_number;verification;certificate
46437-16;Преобразователь температуры;144;2024-11-25;С-БП/25-11-2024/391502836
