name;type;manufacturer;serial_number;model;poz;location;tag
Эл. привод;РэмТэк;ООО НПП ТЭК;211311;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-1;Кш 8.1
Эл. привод;РэмТэк;ООО НПП ТЭК;211109;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-1;Кш 9.1
Эл. привод;РэмТэк;ООО НПП ТЭК;211190;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 201;скв-1;Кр 3\1
Эл. привод;РэмТэк;ООО НПП ТЭК;211022;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 201;скв-1;Зд 1\1
Эл. привод;РэмТэк;ООО НПП ТЭК;211302;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-2;Кш 8.2
Эл. привод;РэмТэк;ООО НПП ТЭК;211323;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-2;Кш 9.2
Эл. привод;РэмТэк;ООО НПП ТЭК;211264;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 201;скв-2;Кр 3\2
Эл. привод;РэмТэк;ООО НПП ТЭК;211017;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 201;скв-2;Зд 1\2
Эл. привод;РэмТэк;ООО НПП ТЭК;211181;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-3;Кш 8.3
Эл. привод;РэмТэк;ООО НПП ТЭК;211107;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-3;Кш 9.3
Эл. привод;РэмТэк;ООО НПП ТЭК;211162;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 201;скв-3;Кр 3\3
Эл. привод;РэмТэк;ООО НПП ТЭК;211011;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 201;скв-3;Зд 1\3
Эл. привод;РэмТэк;ООО НПП ТЭК;211301;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-4;Кш 9.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211322;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-4;Кш 8.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211163;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 201;скв-4;Кр 3\4
Эл. привод;РэмТэк;ООО НПП ТЭК;21996;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 201;скв-4;Зд 1\4
Эл. привод;РэмТэк;ООО НПП ТЭК;211271;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-5;Кш 8.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211319;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-5;Кш 9.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211167;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 201;скв-5;Кр 3\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211007;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 201;скв-5;Зд 1\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211325;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-6;Кш 9.6
Эл. привод;РэмТэк;ООО НПП ТЭК;211175;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-6;Кш 8.6
Эл. привод;РэмТэк;ООО НПП ТЭК;211161;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 201;скв-6;Кр 3\6
Эл. привод;РэмТэк;ООО НПП ТЭК;211019;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 201;скв-6;Зд 1\6
Эл. привод;РэмТэк;ООО НПП ТЭК;211103;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-7;Кш 8.7
Эл. привод;РэмТэк;ООО НПП ТЭК;211316;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 201;скв-7;Кш 9.7
Эл. привод;РэмТэк;ООО НПП ТЭК;211191;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 201;скв-7;Кр 3\7
Эл. привод;РэмТэк;ООО НПП ТЭК;211000;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 201;скв-7;Зд 1\7
Эл. привод;РэмТэк;ООО НПП ТЭК;212326;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 201;КШМ;КШМ
Эл. привод;РэмТэк;ООО НПП ТЭК;211309;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-7;Кш 8.7
Эл. привод;РэмТэк;ООО НПП ТЭК;211310;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-7;Кш 9.7
Эл. привод;РэмТэк;ООО НПП ТЭК;211265;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-7;Кр 3\7
Эл. привод;РэмТэк;ООО НПП ТЭК;211012;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 202;скв-7;Зд 1\7
Эл. привод;РэмТэк;ООО НПП ТЭК;211093;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-5;Кш 9.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211272;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-5;Кш 8.5
Эл. привод;РэмТэк;ООО НПП ТЭК;211165;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-5;Кр 3\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211016;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 202;скв-5;Зд 1\5
Эл. привод;РэмТэк;ООО НПП ТЭК;211300;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-6;Кш 8.6
Эл. привод;РэмТэк;ООО НПП ТЭК;211321;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-6;Кш 9.6
Эл. привод;РэмТэк;ООО НПП ТЭК;00000001;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-6;Кр 3\6
Эл. привод;РэмТэк;ООО НПП ТЭК;211013;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 202;скв-6;Зд 1\6
Эл. привод;РэмТэк;ООО НПП ТЭК;211296;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-3;Кш 9.3
Эл. привод;РэмТэк;ООО НПП ТЭК;211304;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-3;Кш 8.3
Эл. привод;РэмТэк;ООО НПП ТЭК;211166;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-3;Кр 3\3
Эл. привод;РэмТэк;ООО НПП ТЭК;21160;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 202;скв-3;Зд 1\3
Эл. привод;РэмТэк;ООО НПП ТЭК;211299;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-4;Кш 8.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211318;П.250.4.374.8100/И.V.19.3.УХЛ1;КГС 202;скв-4;Кш 9.4
Эл. привод;РэмТэк;ООО НПП ТЭК;211168;М.120.70.9.8100/И.V.16.3.УХЛ1;КГС 202;скв-4;Кр 3\4
Эл. привод;РэмТэк;ООО НПП ТЭК;211009;М.300.30.15.8100/И.S.15.3.УХЛ1;КГС 202;скв-4;Зд 1\4
