position;location;teg;type;model;name;reg_number;serial_number;year;min_scale;unit;max_scale;comment;interval;previous_verification;result;certificate
ГП22;БНДР;РТ007;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017443;2021;0;Па;25;ГП22;60;20.05.2022;Годен;С-ДУС/20-05-2022/159477198
ГП22;БНДР;РТ003;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017442;2021;0;Па;25;ГП22;60;27.04.2022;Годен;С-ДУС/27-04-2022/154057927
ГП22;БНДР;РТ006;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61936-15;017439;2021;0;Па;25;ГП22;60;20.05.2022;Годен;С-ДУС/20-05-2022/159477200
ГП22;БНДР;РТ002;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017435;2021;0;Па;25;ГП22;60;20.05.2022;Годен;С-ДУС/20-05-2022/159477225
ГП22;БНДР;РТ005;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017434;2021;0;Па;25;ГП22;60;20.05.2022;Годен;С-ДУС/20-05-2022/159477227
ГП22;БНДР;РТ003;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017433;2021;0;Па;25;ГП22;60;20.05.2022;Годен;С-ДУС/20-05-2022/159477229
ГП22;БНДР;РТ002;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017320;2021;0;Па;25;ГП22;60;20.05.2022;Годен;С-ДУС/20-05-2022/159477233
ГП22;БНДР;РТ005;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017317;2021;0;Па;25;ГП22;60;20.05.2022;Годен;С-ДУС/20-05-2022/159477238
ГП22;БНДР;РТ003;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61936-15;017315;2021;0;Па;25;ГП22;60;27.04.2022;Годен;С-ДУС/27-04-2022/154057929
ГП22;БНДР;РТ002;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017314;2021;0;Па;25;ГП22;60;27.04.2022;Годен;С-ДУС/27-04-2022/154057932
ГП22;БНДР;РТ001;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017313;2021;0;Па;25;ГП22;60;27.04.2022;Годен;С-ДУС/27-04-2022/154057934
ГП22;БНДР;РТ013;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П;Преобразователь давления измерительный;61935-15;017311;2021;0;Па;25;ГП22;60;27.04.2022;Годен;С-ДУС/27-04-2022/154057940 
ГП22;БНДР;РТ004;СДВ-SMART;Exd-И-1171-02-ЭП1-t16-025-25MПa -42 +HART-K04-П-KБycm/БKH2-10;Преобразователь давления измерительный;61935-15;017310;2021;0;Па;25;ГП22;60;27.04.2022;Годен;С-ДУС/27-04-2022/154057943
ГП22;БНДР;PDT001;СДВ-SMART;Exd-ДД-1440-01-ЭП1-t16-025-040 кПа-25-42+HART-K04-П;Преобразователь давления измерительный;61935-15;017149;2021;0;Па;40;ГП22;60;06.05.2022;Годен;С-ДУС/06-05-2022/154266258
ГП22;БНДР;PDT001;СДВ-SMART;Exd-ДД-1440-01-ЭП1-t16-025-040 кПа-25-42+HART-K04-П;Преобразователь давления измерительный;61935-15;017090;2022;0;Па;40;ГП22;60;06.05.2022;Годен;С-ДУС/06-05-2022/154266259
ГП19;Арматурные узлы метанола;РТ 640/2;СДВ-SMART;Ex-И-1171-02-ЭП1-t16-025-25,0MПa-42+HART-K04-П-КБуст/БКН2-10//СК(ДИ)/М20-09Г2С АГБР.406239.010ТУ;Преобразователь давления измерительный;61936-15;016518;2021;0;Па;25;ГП19;60;09.02.2022;Годен;С-ДУС/09-02-2022/130102031
